Site,Lat,Long,Elevation
Sura 100,10.412267,-84.035283,100
Piper,10.4325,-84.028933,
Sura 60,10.429467,-84.025417,60
Taconazo 30 ,10.4322,-84.012967,30
Arboleda 30,10.429133,-84.009433,30
Sura 30,10.42965,-84.007017,30
Saltito 100,10.418933,-84.023583,100
Carapa 60,10.4217,-84.0243,60
Arb Seep 30,10.429583,-84.0112,30
Saltito 60,10.4248,-84.009667,60
Sabalo,10.4212,-84.001667,
Salto 100,10.407133,-84.018533,100
Salto 60,10.413433,-84.0147,60
Salt Seep 60,10.419817,-84.00865,60
Pantano 60,10.41875,-84.006267,60
Salto 30,10.427333,-84.00275,30
Red Cross,10.453149,-84.009313,
