site,month,rep,dry_mass
Arb,1,A,54.699999999999996
Arb,1,B,67.2
Arb,1,C,67.5
Sur30,1,A,29.200000000000003
Sur30,1,B,49.8
Sur30,1,C,58.4
Tito60,1,A,22
Tito60,1,B,48.8
Tito60,1,C,21.4
Piper,1,A,32.1
Piper,1,B,26.2
Piper,1,C,31.299999999999997
Tac,1,A,49.699999999999996
Arb,3,A,84.1
Arb,3,B,53.199999999999996
Arb,3,C,14.9
Sur30,3,A,77.60000000000001
Sur30,3,B,51.5
Sur30,3,C,37.199999999999996
Tito60,3,A,17.599999999999998
Tito60,3,B,38.4
Tito60,3,C,14.200000000000001
Piper,3,A,38
Piper,3,B,32.1
Piper,3,C,36.199999999999996
Tac,3,A,61.1
Tac,3,B,82.80000000000001
Tac,3,C,49.9
Arb,6,A,36.1
Arb,6,B,27.8
Arb,6,C,45.699999999999996
Sur30,6,A,70.5
Sur30,6,B,70.2
Sur30,6,C,49.199999999999996
Tito60,6,A,40.6
Tito60,6,C,49.199999999999996
Piper,6,B,26.400000000000002
Piper,6,C,29
Arb,12,A,25.9
Arb,12,B,47.5
Arb,12,C,30.7
Sur30,12,A,52.699999999999996
Sur30,12,B,45.099999999999994
Sur30,12,C,148.3
Tito60,12,A,42.699999999999996
Tito60,12,B,48.8
Tito60,12,C,47.9
Piper,12,A,47
Piper,12,B,41.9
Piper,12,C,47.699999999999996
Tac,12,A,70.30000000000001
Tac,12,B,79.89999999999999
Tac,12,C,120.60000000000001
